2023-08-15 12:45:15.225349 - Start: 2023-08-15 12:43:00, end: 2023-08-15 12:44:01, {'latitude': [53.17835825, 4], 'longitude': [45.00901875, 4], 'Температура': [23.060000000000002, 4], 'Влажность': [46.637499999999996, 4], 'Давление': [747.82, 4], 'Уровень CO2': [0.0, 4], 'Уровень NO2': [82.5, 4], 'Уровень SO2': [0.0, 4], 'Уровень CO': [1568.5, 4], 'Концентрация крупных частиц пыли (PM 10)': [11.0, 4], 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': [10.0, 4], 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': [8.0, 4]}

2023-08-15 17:56:05.368031 - Start: 2023-08-15 17:17:57, end: 2023-08-15 17:53:50, {'latitude': [53.178284320754685, 106], 'longitude': [45.008882358490496, 106], 'Температура': [25.20339622641508, 106], 'Влажность': [40.263207547169834, 106], 'Давление': [747.5012264150942, 106], 'Уровень CO2': [0.0, 106], 'Уровень NO2': [58.60377358490566, 106], 'Уровень SO2': [0.0, 106], 'Уровень CO': [1291.2358490566037, 106], 'Концентрация крупных частиц пыли (PM 10)': [5.811320754716981, 106], 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': [5.80188679245283, 106], 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': [3.9716981132075473, 106]}

2023-08-16 10:05:55.038298 - Start: 2023-08-16 09:17:13, end: 2023-08-16 10:03:41, {'latitude': [53.178241525547406, 137], 'longitude': [45.00887199999994, 137], 'Температура': [26.99532846715329, 137], 'Влажность': [41.56788321167881, 137], 'Давление': [748.2110218978106, 137], 'Уровень CO2': [0.0, 137], 'Уровень NO2': [52.88321167883212, 137], 'Уровень SO2': [0.0, 137], 'Уровень CO': [1329.3795620437957, 137], 'Концентрация крупных частиц пыли (PM 10)': [7.875912408759124, 137], 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': [7.4963503649635035, 137], 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': [5.489051094890511, 137]}

2023-08-16 13:07:27.801504 - Start: 2023-08-16 12:07:08, end: 2023-08-16 13:05:13, {'latitude': [53.17827138011688, 171], 'longitude': [45.00893505847955, 171], 'Температура': [25.54421052631582, 171], 'Влажность': [38.83812865497077, 171], 'Давление': [747.9531578947361, 171], 'Уровень CO2': [0.0, 171], 'Уровень NO2': [49.36257309941521, 171], 'Уровень SO2': [0.0, 171], 'Уровень CO': [1298.4561403508771, 171], 'Концентрация крупных частиц пыли (PM 10)': [5.315789473684211, 171], 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': [5.315789473684211, 171], 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': [3.8421052631578947, 171]}

2023-08-16 17:51:08.235479 - Start: 2023-08-16 16:50:49, end: 2023-08-16 17:48:54, {'latitude': [53.17830422807013, 171], 'longitude': [45.008871742690026, 171], 'Температура': [24.482631578947384, 171], 'Влажность': [43.19122807017543, 171], 'Давление': [747.8705847953221, 171], 'Уровень CO2': [0.0, 171], 'Уровень NO2': [78.18713450292398, 171], 'Уровень SO2': [0.0, 171], 'Уровень CO': [1474.4035087719299, 171], 'Концентрация крупных частиц пыли (PM 10)': [5.374269005847953, 171], 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': [5.374269005847953, 171], 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': [3.801169590643275, 171]}

2023-08-17 10:17:54.734552 - Start: 2023-08-17 09:36:23, end: 2023-08-17 10:15:40, {'latitude': [53.178267724137946, 116], 'longitude': [45.00887300862067, 116], 'Температура': [25.69870689655173, 116], 'Влажность': [39.53655172413792, 116], 'Давление': [748.3086206896555, 116], 'Уровень CO2': [0.0, 116], 'Уровень NO2': [11.758620689655173, 116], 'Уровень SO2': [0.0, 116], 'Уровень CO': [1546.344827586207, 116], 'Концентрация крупных частиц пыли (PM 10)': [12.568965517241379, 116], 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': [10.741379310344827, 116], 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': [8.439655172413794, 116]}

2023-08-17 14:43:25.218635 - Start: 2023-08-17 13:42:25, end: 2023-08-17 14:41:11, {'latitude': [53.17827478612703, 173], 'longitude': [45.00892585549131, 173], 'Температура': [26.543757225433534, 173], 'Влажность': [40.28999999999998, 173], 'Давление': [747.6902890173403, 173], 'Уровень CO2': [0.0, 173], 'Уровень NO2': [51.93063583815029, 173], 'Уровень SO2': [0.0, 173], 'Уровень CO': [1476.757225433526, 173], 'Концентрация крупных частиц пыли (PM 10)': [12.913294797687861, 173], 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': [11.895953757225433, 173], 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': [8.907514450867051, 173]}

