2023-08-15 12:45:15.225349
{'time': '15.08.2023 12:43:00', 'latitude': '53.178391', 'longitude': '45.009056', 'Температура': '23.01', 'Влажность': '46.82', 'Давление': '747.86', 'Уровень CO2': 0, 'Уровень NO2': 82, 'Уровень SO2': 0, 'Уровень CO': 1665, 'Концентрация крупных частиц пыли (PM 10)': 11, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 10, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 8}
{'time': '15.08.2023 12:43:20', 'latitude': '53.178387', 'longitude': '45.009041', 'Температура': '23.04', 'Влажность': '46.66', 'Давление': '747.81', 'Уровень CO2': 0, 'Уровень NO2': 84, 'Уровень SO2': 0, 'Уровень CO': 1590, 'Концентрация крупных частиц пыли (PM 10)': 11, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 10, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 8}
{'time': '15.08.2023 12:43:41', 'latitude': '53.178356', 'longitude': '45.008991', 'Температура': '23.07', 'Влажность': '46.56', 'Давление': '747.80', 'Уровень CO2': 0, 'Уровень NO2': 82, 'Уровень SO2': 0, 'Уровень CO': 1523, 'Концентрация крупных частиц пыли (PM 10)': 11, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 10, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 8}
{'time': '15.08.2023 12:44:01', 'latitude': '53.178299', 'longitude': '45.008987', 'Температура': '23.12', 'Влажность': '46.51', 'Давление': '747.81', 'Уровень CO2': 0, 'Уровень NO2': 82, 'Уровень SO2': 0, 'Уровень CO': 1496, 'Концентрация крупных частиц пыли (PM 10)': 11, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 10, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 8}
2023-08-15 17:56:05.368031
{'time': '15.08.2023 17:17:57', 'latitude': '53.178299', 'longitude': '45.008881', 'Температура': '24.74', 'Влажность': '41.17', 'Давление': '747.53', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1995, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:18:18', 'latitude': '53.178299', 'longitude': '45.008881', 'Температура': '24.77', 'Влажность': '41.12', 'Давление': '747.53', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1806, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:18:38', 'latitude': '53.178299', 'longitude': '45.008881', 'Температура': '24.80', 'Влажность': '41.05', 'Давление': '747.53', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1693, 'Концентрация крупных частиц пыли (PM 10)': 5, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 5, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:18:59', 'latitude': '53.178299', 'longitude': '45.008877', 'Температура': '24.81', 'Влажность': '40.99', 'Давление': '747.54', 'Уровень CO2': 0, 'Уровень NO2': 59, 'Уровень SO2': 0, 'Уровень CO': 1618, 'Концентрация крупных частиц пыли (PM 10)': 6, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 6, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:19:19', 'latitude': '53.178295', 'longitude': '45.008873', 'Температура': '24.85', 'Влажность': '40.94', 'Давление': '747.55', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1571, 'Концентрация крупных частиц пыли (PM 10)': 5, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 5, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
{'time': '15.08.2023 17:19:40', 'latitude': '53.178295', 'longitude': '45.008873', 'Температура': '24.88', 'Влажность': '40.90', 'Давление': '747.58', 'Уровень CO2': 0, 'Уровень NO2': 61, 'Уровень SO2': 0, 'Уровень CO': 1486, 'Концентрация крупных частиц пыли (PM 10)': 5, 'Концентрация мелкодисперсных частиц пыли (PM 2,5)': 5, 'Концентрация ультрадисперсных частиц пыли (PM 1,0)': 4}
